payment_id,order_id,payment_date,payment_method,payment_status,amount_paid
1,1,2023-01-05,Card,Paid,1200
2,2,2023/01/06,UPI,Paid,15000
3,3,2023-01-07,Card,Pending,500
4,4,,NetBanking,Paid,7000
5,5,2023-01-09,UPI,Paid,3000
6,6,2023-01-10,Card,Failed,0
7,7,2023-01-11,Card,Paid,18000
8,8,2023-01-12,UPI,Paid,2500
9,9,2023-01-13,Card,Paid,
10,10,2023-01-14,NetBanking,Paid,16000
11,11,2023-01-15,UPI,Paid,2000
12,12,,Card,Pending,1000
13,13,2023-01-17,Card,Paid,22000
14,14,2023-01-18,UPI,Paid,800
15,15,2023-01-19,Card,Refunded,0
16,16,2023-01-20,NetBanking,Paid,15500
17,17,2023-01-21,UPI,Paid,9000
18,18,2023-01-22,Card,Pending,3000
19,19,2023-01-23,Card,Paid,30000
20,20,2023-01-24,UPI,Paid,11000
21,21,2023-01-25,Card,Paid,5000
22,22,2023-01-26,NetBanking,Paid,6000
23,23,2023-01-27,UPI,Paid,700
24,24,,Card,Paid,4000
25,25,2023-01-29,Card,Paid,17000
26,26,2023-01-30,UPI,Paid,9000
27,27,2023-01-31,Card,Refunded,0
28,28,2023-02-01,NetBanking,Paid,20000
29,29,2023-02-02,UPI,Paid,3500
30,30,2023-02-03,Card,Paid,12000
31,31,2023-02-04,UPI,Pending,600
32,32,2023-02-05,Card,Paid,14000
33,33,,NetBanking,Paid,25000
34,34,2023-02-07,UPI,Paid,5000
35,35,2023-02-08,Card,Paid,8000
36,36,2023-02-09,Card,Refunded,0
37,37,2023-02-10,NetBanking,Paid,16000
38,38,2023-02-11,UPI,Pending,300
39,39,2023-02-12,Card,Paid,18000
40,40,2023-02-13,UPI,Paid,7000
41,41,2023-02-14,Card,Paid,11000
42,42,,NetBanking,Paid,900
43,43,2023-02-16,Card,Paid,21000
44,44,2023-02-17,UPI,Paid,4000
45,45,2023-02-18,Card,Paid,13000
46,46,2023-02-19,Card,Refunded,0
47,47,2023-02-20,UPI,Paid,15000
48,48,2023-02-21,NetBanking,Paid,2000
49,49,2023-02-22,Card,Paid,17000
50,50,2023-02-23,UPI,Paid,6000
51,51,2023-02-24,Card,Paid,9000
52,52,2023-02-25,NetBanking,Paid,3000
53,53,,UPI,Paid,1200
54,54,2023-02-27,Card,Paid,10000
55,55,2023-02-28,NetBanking,Paid,22000
56,56,2023-03-01,Card,Paid,25000
57,57,2023-03-02,UPI,Refunded,0
58,58,2023-03-03,Card,Paid,14000
59,59,2023-03-04,NetBanking,Pending,500
60,60,2023-03-05,UPI,Paid,16000
61,61,2023-03-06,Card,Paid,7000
62,62,,NetBanking,Paid,18000
63,63,2023-03-08,UPI,Paid,11000
64,64,2023-03-09,Card,Pending,800
65,65,2023-03-10,NetBanking,Paid,20000
66,66,2023-03-11,UPI,Paid,9000
67,67,2023/03/12,Card,Paid,15000
68,68,2023-03-13,Card,Refunded,0
69,69,2023-03-14,UPI,Paid,17000
70,70,2023-03-15,NetBanking,Paid,3000
71,71,2023-03-16,Card,Paid,19000
72,72,2023-03-17,UPI,Paid,6000
73,73,2023/03/18,Card,Paid,21000
74,74,,NetBanking,Paid,10000
75,75,2023-03-20,UPI,Pending,400
76,76,2023-03-21,Card,Paid,12000
77,77,2023-03-22,NetBanking,Paid,8000
78,78,2023-03-23,UPI,Paid,25000
79,79,2023-03-24,Card,Refunded,0
80,80,2023/03/25,NetBanking,Paid,15000
81,81,2023-03-26,UPI,Pending,900
82,82,2023-03-27,Card,Paid,18000
83,83,2023-03-28,NetBanking,Paid,11000
84,84,2023-03-29,UPI,Paid,22000
85,85,,Card,Paid,13000
86,86,2023/03/31,NetBanking,Pending,700
87,87,2023-04-01,UPI,Paid,16000
88,88,2023-04-02,Card,Paid,14000
89,89,2023-04-03,NetBanking,Paid,20000
90,90,2023-04-04,Card,Refunded,0
91,91,2023-04-05,UPI,Paid,17000
92,92,2023-04-06,NetBanking,Pending,500
93,93,,Card,Paid,21000
94,94,2023-04-08,UPI,Paid,9000
95,95,2023-04-09,Card,Paid,15000
96,96,2023-04-10,NetBanking,Paid,25000
97,97,2023-04-11,Card,Refunded,0
98,98,2023-04-12,UPI,Pending,300
99,99,2023-04-13,NetBanking,Paid,18000
100,100,2023-04-14,Card,Paid,12000
