order_id,customer_id,order_date,order_status,order_amount
1,1,2023-01-05,Completed,1200
2,2,2023-01-06,completed,15000
3,3,2023/01/07,Pending,500
4,4,,Completed,7000
5,5,2023-01-09,Shipped,3000
6,6,2023-01-10,Cancelled,0
7,7,2023-01-11,completed,18000
8,8,2023-13-01,Pending,2500
9,9,2023-01-13,Completed,4500
10,10,2023-01-14,Shipped,16000
11,11,2023-01-15,completed,2000
12,12,,Pending,1000
13,13,2023-01-17,Completed,22000
14,14,2023-01-18,Shipped,800
15,15,2023/01/19,Cancelled,0
16,16,2023-01-20,Completed,15500
17,17,2023-01-21,completed,9000
18,18,2023-01-22,Pending,
19,19,2023-01-23,Completed,30000
20,20,2023-01-24,Shipped,11000
21,21,2023-01-25,completed,5000
22,22,2023-01-26,Completed,6000
23,23,2023-01-27,Pending,700
24,24,,Shipped,4000
25,25,2023-01-29,completed,17000
26,26,2023-01-30,Completed,9000
27,27,2023-01-31,Cancelled,0
28,28,2023-02-01,completed,20000
29,29,2023-02-02,Shipped,3500
30,30,2023/02/03,Completed,12000
31,31,2023-02-04,Pending,600
32,32,2023-02-05,completed,14000
33,33,,Completed,25000
34,34,2023-02-07,Shipped,5000
35,35,2023-02-08,completed,8000
36,36,2023-02-09,Cancelled,0
37,37,2023-02-10,Completed,16000
38,38,2023-02-11,Pending,300
39,39,2023-02-12,completed,18000
40,40,2023-02-13,Shipped,7000
41,41,2023-02-14,Completed,11000
42,42,,Pending,900
43,43,2023-02-16,completed,21000
44,44,2023-02-17,Shipped,4000
45,45,2023-02-18,Completed,13000
46,46,2023-02-19,Cancelled,0
47,47,2023/02/20,completed,15000
48,48,2023-02-21,Pending,2000
49,49,2023-02-22,Completed,17000
50,50,2023-02-23,Shipped,6000
51,51,2023-02-24,completed,9000
52,52,2023-02-25,Completed,3000
53,53,,Pending,1200
54,54,2023-02-27,Shipped,10000
55,55,2023-02-28,completed,22000
56,56,2023-03-01,Completed,25000
57,57,2023-03-02,Cancelled,0
58,58,2023-03-03,completed,14000
59,59,2023-03-04,Pending,500
60,60,2023-03-05,Completed,16000
61,61,2023-03-06,Shipped,7000
62,62,,completed,18000
63,63,2023-03-08,Completed,11000
64,64,2023-03-09,Pending,800
65,65,2023-03-10,completed,20000
66,66,2023-03-11,Shipped,9000
67,67,2023-03-12,Completed,15000
68,68,2023-03-13,Cancelled,0
69,69,2023-03-14,completed,17000
70,70,2023-03-15,Pending,3000
71,71,2023-03-16,Completed,19000
72,72,2023-03-17,Shipped,6000
73,73,2023-03-18,completed,21000
74,74,,Completed,10000
75,75,2023-03-20,Pending,400
76,76,2023-03-21,completed,12000
77,77,2023-03-22,Shipped,8000
78,78,2023-03-23,Completed,25000
79,79,2023/03/24,Cancelled,0
80,80,2023-03-25,completed,15000
81,81,2023-03-26,Pending,900
82,82,2023-03-27,Completed,18000
83,83,2023-03-28,Shipped,11000
84,84,2023-03-29,completed,22000
85,85,,Completed,13000
86,86,2023-03-31,Pending,700
87,87,2023-04-01,completed,16000
88,88,2023-04-02,Shipped,14000
89,89,2023-04-03,Completed,20000
90,90,2023-04-04,Cancelled,0
91,91,2023-04-05,completed,17000
92,92,2023-04-06,Pending,500
93,93,,Completed,21000
94,94,2023-04-08,Shipped,9000
95,95,2023-04-09,completed,15000
96,96,2023-04-10,Completed,25000
97,97,2023-04-11,Cancelled,0
98,98,2023-04-12,Pending,300
99,99,2023-04-13,completed,18000
100,100,2023-04-14,Shipped,12000
